,name,price,desc
0,Name not found,Price not found,"Buy TRIGGR Kraken X1 with Battery Display, 40ms Latency, Quad Mic ENC, 40 Hr, v5.3 Bluetooth for Rs.3999 Online, Also get TRIGGR Kraken X1 with Battery Display, 40ms Latency, Quad Mic ENC, 40 Hr, v5.3 Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
1,Name not found,Price not found,"Buy TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm Drivers, Rich Bass, Fast Charging Bluetooth for Rs.2999 Online, Also get TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm Drivers, Rich Bass, Fast Charging Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
2,Name not found,Price not found,"Buy boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playback Bluetooth for Rs.2490 Online, Also get boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playback Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
3,Name not found,Price not found,"Buy boAt Airdopes 131 with upto 60 hours and ASAP Charge Bluetooth for Rs.2990 Online, Also get boAt Airdopes 131 with upto 60 hours and ASAP Charge Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
4,Name not found,Price not found,"Buy Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX5 and Unique Flybird Design Bluetooth for Rs.2999 Online, Also get Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX5 and Unique Flybird Design Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
5,Name not found,Price not found,"Buy Aroma NB140 Matrix Upto 40Hr Playtime* Fast Charging Dual Pairing True Wireless Bluetooth Gaming for Rs.2399 Online, Also get Aroma NB140 Matrix Upto 40Hr Playtime* Fast Charging Dual Pairing True Wireless Bluetooth Gaming Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
6,Name not found,Price not found,"Buy BULLSTORM Ultrapod Bluetooth for Rs. Online, Also get BULLSTORM Ultrapod Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
7,Name not found,Price not found,"Buy realme Buds T310 with 12.4mm Driver, 46dB ANC, Spatial Audio and upto 40 hours Playback Bluetooth for Rs.3999 Online, Also get realme Buds T310 with 12.4mm Driver, 46dB ANC, Spatial Audio and upto 40 hours Playback Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
8,Name not found,Price not found,"Buy boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers, Dual Mics ENx & Beast Mode Bluetooth for Rs.3490 Online, Also get boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers, Dual Mics ENx & Beast Mode Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
9,Name not found,Price not found,Description not found
